monsterid,itemid
390001061,170006028
390000000,170003086
390000000,170004036
390000000,170001733
390000000,170000689
390000000,170006688
390000000,170006695
390000000,170005702
390000000,170006388
390000000,170006391
390000000,170006133
390000000,170012762
390000000,170013424
390000000,170013407
390000001,170001737
390000001,170001744
390000001,170002953
390000001,170001889
390000001,170002962
390000001,170001748
390000001,170006688
390000001,170006695
390000001,170005702
390000001,170006393
390000001,170006388
390000001,170012464
390000001,170013425
390000001,170013408
390000007,170004142
390000007,170002956
390000007,170003240
390000007,170001884
390000007,170003093
390000007,170006688
390000007,170006695
390000007,170005702
390000007,170006394
390000007,170009642
390000007,170013426
390000007,170013409
390000009,170003637
390000009,170001883
390000009,170000250
390000009,170004188
390000009,170004336
390000009,170003692
390000009,170002971
390000009,170006688
390000009,170006695
390000009,170005702
390000009,170006396
390000009,170006242
390000009,170012759
390000009,170013428
390000009,170013411
390000008,170004665
390000008,170001879
390000008,170004186
390000008,170002207
390000008,170003639
390000008,170004735
390000008,170004250
390000008,170005702
390000008,170006395
390000008,170006214
390000008,170012746
390000008,170013427
390000008,170013454
390000008,170013410
390000010,170002951
390000010,170004665
390000010,170000641
390000010,170004682
390000010,170004528
390000010,170003655
390000010,170002223
390000010,170002980
390000010,170005702
390000010,170006277
390000010,170006405
390000010,170006388
390000010,170006245
390000010,170012753
390000010,170012747
390000010,170013425
390000010,170013429
390000010,170013445
390000010,170013412
390000016,170004665
390000016,170000630
390000016,170001889
390000016,170001891
390000016,170003242
390000016,170004862
390000016,170001765
390000016,170005702
390000016,170006408
390000016,170006305
390000016,170012764
390000016,170012760
390000016,170013385
390000016,170013430
390000016,170013456
390000016,170013413
390001201,170002951
390001201,170004665
390001201,170005702
390001201,170012989
390000018,170004138
390000018,170003636
390000018,170000665
390000018,170003647
390000018,170002216
390000018,170003663
390000018,170005702
390000018,170006132
390000018,170006308
390000018,170012465
390000018,170013431
390000018,170013446
390000018,170013407
390001000,170013767
390001000,170013768
390000032,170000719
390000032,170000677
390000032,170001905
390000032,170003110
390000032,170003012
390000032,170004868
390000032,170004866
390000032,170003719
390000032,170003717
390000032,170004871
390000032,170005786
390000032,170005722
390000032,170005720
390000032,170006569
390000032,170006709
390000032,170012957
390000032,170012761
390000032,170013398
390000032,170013431
390000032,170013408
390000012,170003531
390000012,170004666
390000012,170000623
390000012,170000248
390000012,170000661
390000012,170004386
390000012,170001895
390000012,170003097
390000012,170001938
390000012,170003141
390000012,170001917
390000012,170003117
390000012,170005702
390000012,170006330
390000012,170012748
390000012,170013431
390000012,170013424
390000012,170013454
390000012,170013408
390000017,170002955
390000017,170001745
390000017,170001889
390000017,170000250
390000017,170000673
390000017,170004472
390000017,170001750
390000017,170003112
390000017,170001742
390000017,170002973
390000017,170005702
390000017,170006356
390000017,170012764
390000017,170013385
390000017,170013425
390000017,170013457
390000017,170013409
390001005,170003531
390001005,170000661
390001005,170004386
390001005,170001938
390001005,170003141
390001005,170005887
390001005,170005722
390001005,170005702
390001005,170006330
390001005,170013429
390001005,170013747
390001005,170013457
390001005,170013413
390000013,170000641
390000013,170004666
390000013,170000655
390000013,170000248
390000013,170001768
390000013,170002976
390000013,170003528
390000013,170001903
390000013,170003106
390000013,170000632
390000013,170000778
390000013,170000768
390000013,170005722
390000013,170005702
390000013,170006467
390000013,170012749
390000013,170013426
390000013,170013455
390000013,170013410
390000019,170004204
390000019,170004666
390000019,170004606
390000019,170004139
390000019,170004528
390000019,170004472
390000019,170000697
390000019,170003651
390000019,170001939
390000019,170001766
390000019,170002974
390000019,170001765
390000019,170005722
390000019,170005702
390000019,170006402
390000019,170006391
390000019,170006514
390000019,170006652
390000019,170006653
390000019,170013397
390000019,170013429
390000019,170013409
390000011,170003536
390000011,170004666
390000011,170004528
390000011,170004603
390000011,170001895
390000011,170001894
390000011,170003096
390000011,170000765
390000011,170004735
390000011,170001940
390000011,170003143
390000011,170004802
390000011,170001753
390000011,170001921
390000011,170003121
390000011,170002980
390000011,170005722
390000011,170005702
390000011,170006407
390000011,170006628
390000011,170006486
390000011,170006486
390000011,170006655
390000011,170006653
390000011,170006652
390000011,170006356
390000011,170012755
390000011,170013427
390000011,170013610
390000011,170013411
390000014,170004463
390000014,170003640
390000014,170004154
390000014,170003535
390000014,170001750
390000014,170002964
390000014,170004390
390000014,170004335
390000014,170001922
390000014,170003122
390000014,170002590
390000014,170004894
390000014,170004894
390000014,170005722
390000014,170005702
390000014,170006500
390000014,170012761
390000014,170013428
390000014,170013412
390000015,170004518
390000015,170003685
390000015,170002437
390000015,170002963
390000015,170001749
390000015,170002430
390000015,170000735
390000015,170001939
390000015,170000729
390000015,170003654
390000015,170005722
390000015,170005702
390000015,170006329
390000015,170006653
390000015,170006355
390000015,170006541
390000015,170013431
390000015,170013457
390000015,170013407
390000015,170013411
390001032,170004528
390001032,170004404
390001032,170005990
390001032,170006629
390001032,170006514
390001032,170006653
390001032,170013431
390001032,170013407
390000035,170004528
390000035,170002582
390000035,170001743
390000035,170002959
390000035,170004654
390000035,170003652
390000035,170001904
390000035,170000749
390000035,170005722
390000035,170005746
390000035,170005720
390000035,170006277
390000035,170006541
390000035,170012752
390000035,170013429
390000035,170013457
390000035,170013413
390000049,170002206
390000049,170004666
390000049,170000642
390000049,170001740
390000049,170002958
390000049,170003677
390000049,170004737
390000049,170001916
390000049,170001774
390000049,170002981
390000049,170003125
390000049,170005778
390000049,170005722
390000049,170005720
390000049,170006389
390000049,170006656
390000049,170013385
390000049,170012785
390000049,170013424
390000049,170013408
390001062,170005818
390001062,170006038
390001062,170006040
390001062,170006039
390001062,170005819
390001062,170006037
390001050,170003705
390001050,170001885
