id,name,lv
170000000,褐色落腮胡,0
170000001,黑胡子,0
170000002,忍者口罩,10
170000003,刮脸痕迹,0
170000004,加勒比海盗胡子,0
170000005,布鲁诺胡子,0
170000006,流氓伤痕,0
170000007,女忍者口罩,0
170000008,SF忍者口罩,10
170000009,心型标志,0
170000010,雀斑,10
170000011,伤痕,0
170000012,印度僧点,0
170000013,皮面罩,0
170000014,红点,0
170000015,颜面伪装,0
170000016,青肿,0
170000017,一枝玫瑰,0
170000018,白胡子,0
170000019,马赛克,0
170000020,唇印,0
170000021,大红点,0
170000022,圣诞鹿的鼻子,0
170000023,圣诞鹿的鼻子,0
170000024,圣诞鹿的鼻子,0
170000025,圣诞鹿的鼻子,0
170000026,圣诞鹿的鼻子,0
170000027,圣诞鹿的鼻子,0
170000028,圣诞鹿的鼻子,0
170000029,圣诞鹿的鼻子,0
170000030,圣诞鹿的鼻子,0
170000031,圣诞鹿的鼻子,0
170000032,脸谱1,0
170000033,脸谱2,0
170000034,脸谱3,0
170000035,优雅胡子,0
170000036,印第安脸饰,0
170000037,关公胡子,0
170000038,OK绷,0
170000039,脸红,0
170000040,黑白小丑面具,0
170000041,眼部疤痕,0
170000042,叶子,0
170000043,麦包,0
170000044,脸部彩绘(英国),0
170000045,脸部彩绘(法国),0
170000046,脸部彩绘(巴西),0
170000047,脸部彩绘(德国),0
170000048,脸部彩绘(葡萄牙),0
170000049,脸部彩绘,0
170000050,脸部彩绘(韩国),0
170000051,红心标,0
170000052,脸部彩绘(美国),0
170000053,脸部彩绘(墨西哥),0
170000054,脸部彩绘(澳洲),0
170000055,木乃伊口罩,0
170000056,面具(马来西亚),0
170000057,面具(新加坡),0
170000058,伯爵的胡子,0
170000059,怪医刀疤,0
170000060,怪物面具,0
170000061,科学怪人面具,0
170000062,彩色小丑面具,0
170000063,忍者卷轴,0
170000064,愤怒,0
170000065,绝望,0
170000066,晒伤妆,0
170000067,狗狗鼻,0
170000068,透明面具,0
170000069,匹诺曹的鼻子,10
